value,datetime,datetime_utc,tz_time,geo_id,geo_name,indicator_id,indicator_name,unit,date
4.215,2021-04-01T00:00:00.000+02:00,2021-03-31T22:00:00Z,2021-03-31T22:00:00.000Z,10,País Vasco,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2021-04-01
0.77,2021-04-01T00:00:00.000+02:00,2021-03-31T22:00:00Z,2021-03-31T22:00:00.000Z,14,Comunidad Foral de Navarra,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2021-04-01
4.731,2021-05-01T00:00:00.000+02:00,2021-04-30T22:00:00Z,2021-04-30T22:00:00.000Z,4,Andalucía,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2021-05-01
0.026,2021-05-01T00:00:00.000+02:00,2021-04-30T22:00:00Z,2021-04-30T22:00:00.000Z,5,Aragón,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2021-05-01
4.4,2021-05-01T00:00:00.000+02:00,2021-04-30T22:00:00Z,2021-04-30T22:00:00.000Z,7,Castilla-La Mancha,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2021-05-01
0.035,2021-05-01T00:00:00.000+02:00,2021-04-30T22:00:00Z,2021-04-30T22:00:00.000Z,9,Cataluña,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2021-05-01
4.215,2021-05-01T00:00:00.000+02:00,2021-04-30T22:00:00Z,2021-04-30T22:00:00.000Z,10,País Vasco,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2021-05-01
0.77,2021-05-01T00:00:00.000+02:00,2021-04-30T22:00:00Z,2021-04-30T22:00:00.000Z,14,Comunidad Foral de Navarra,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2021-05-01
4.731,2021-06-01T00:00:00.000+02:00,2021-05-31T22:00:00Z,2021-05-31T22:00:00.000Z,4,Andalucía,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2021-06-01
0.026,2021-06-01T00:00:00.000+02:00,2021-05-31T22:00:00Z,2021-05-31T22:00:00.000Z,5,Aragón,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2021-06-01
4.4,2021-06-01T00:00:00.000+02:00,2021-05-31T22:00:00Z,2021-05-31T22:00:00.000Z,7,Castilla-La Mancha,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2021-06-01
0.035,2021-06-01T00:00:00.000+02:00,2021-05-31T22:00:00Z,2021-05-31T22:00:00.000Z,9,Cataluña,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2021-06-01
4.215,2021-06-01T00:00:00.000+02:00,2021-05-31T22:00:00Z,2021-05-31T22:00:00.000Z,10,País Vasco,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2021-06-01
0.77,2021-06-01T00:00:00.000+02:00,2021-05-31T22:00:00Z,2021-05-31T22:00:00.000Z,14,Comunidad Foral de Navarra,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2021-06-01
0.028,2021-06-01T00:00:00.000+02:00,2021-05-31T22:00:00Z,2021-05-31T22:00:00.000Z,15,Comunidad Valenciana,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2021-06-01
4.731,2021-07-01T00:00:00.000+02:00,2021-06-30T22:00:00Z,2021-06-30T22:00:00.000Z,4,Andalucía,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2021-07-01
0.026,2021-07-01T00:00:00.000+02:00,2021-06-30T22:00:00Z,2021-06-30T22:00:00.000Z,5,Aragón,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2021-07-01
4.4,2021-07-01T00:00:00.000+02:00,2021-06-30T22:00:00Z,2021-06-30T22:00:00.000Z,7,Castilla-La Mancha,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2021-07-01
0.035,2021-07-01T00:00:00.000+02:00,2021-06-30T22:00:00Z,2021-06-30T22:00:00.000Z,9,Cataluña,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2021-07-01
4.215,2021-07-01T00:00:00.000+02:00,2021-06-30T22:00:00Z,2021-06-30T22:00:00.000Z,10,País Vasco,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2021-07-01
0.77,2021-07-01T00:00:00.000+02:00,2021-06-30T22:00:00Z,2021-06-30T22:00:00.000Z,14,Comunidad Foral de Navarra,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2021-07-01
0.028,2021-07-01T00:00:00.000+02:00,2021-06-30T22:00:00Z,2021-06-30T22:00:00.000Z,15,Comunidad Valenciana,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2021-07-01
4.731,2021-08-01T00:00:00.000+02:00,2021-07-31T22:00:00Z,2021-07-31T22:00:00.000Z,4,Andalucía,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2021-08-01
0.026,2021-08-01T00:00:00.000+02:00,2021-07-31T22:00:00Z,2021-07-31T22:00:00.000Z,5,Aragón,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2021-08-01
4.4,2021-08-01T00:00:00.000+02:00,2021-07-31T22:00:00Z,2021-07-31T22:00:00.000Z,7,Castilla-La Mancha,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2021-08-01
0.035,2021-08-01T00:00:00.000+02:00,2021-07-31T22:00:00Z,2021-07-31T22:00:00.000Z,9,Cataluña,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2021-08-01
4.215,2021-08-01T00:00:00.000+02:00,2021-07-31T22:00:00Z,2021-07-31T22:00:00.000Z,10,País Vasco,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2021-08-01
0.77,2021-08-01T00:00:00.000+02:00,2021-07-31T22:00:00Z,2021-07-31T22:00:00.000Z,14,Comunidad Foral de Navarra,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2021-08-01
0.028,2021-08-01T00:00:00.000+02:00,2021-07-31T22:00:00Z,2021-07-31T22:00:00.000Z,15,Comunidad Valenciana,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2021-08-01
4.731,2021-09-01T00:00:00.000+02:00,2021-08-31T22:00:00Z,2021-08-31T22:00:00.000Z,4,Andalucía,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2021-09-01
0.026,2021-09-01T00:00:00.000+02:00,2021-08-31T22:00:00Z,2021-08-31T22:00:00.000Z,5,Aragón,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2021-09-01
4.4,2021-09-01T00:00:00.000+02:00,2021-08-31T22:00:00Z,2021-08-31T22:00:00.000Z,7,Castilla-La Mancha,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2021-09-01
0.035,2021-09-01T00:00:00.000+02:00,2021-08-31T22:00:00Z,2021-08-31T22:00:00.000Z,9,Cataluña,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2021-09-01
4.215,2021-09-01T00:00:00.000+02:00,2021-08-31T22:00:00Z,2021-08-31T22:00:00.000Z,10,País Vasco,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2021-09-01
0.77,2021-09-01T00:00:00.000+02:00,2021-08-31T22:00:00Z,2021-08-31T22:00:00.000Z,14,Comunidad Foral de Navarra,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2021-09-01
0.028,2021-09-01T00:00:00.000+02:00,2021-08-31T22:00:00Z,2021-08-31T22:00:00.000Z,15,Comunidad Valenciana,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2021-09-01
4.731,2021-10-01T00:00:00.000+02:00,2021-09-30T22:00:00Z,2021-09-30T22:00:00.000Z,4,Andalucía,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2021-10-01
0.026,2021-10-01T00:00:00.000+02:00,2021-09-30T22:00:00Z,2021-09-30T22:00:00.000Z,5,Aragón,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2021-10-01
4.4,2021-10-01T00:00:00.000+02:00,2021-09-30T22:00:00Z,2021-09-30T22:00:00.000Z,7,Castilla-La Mancha,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2021-10-01
0.035,2021-10-01T00:00:00.000+02:00,2021-09-30T22:00:00Z,2021-09-30T22:00:00.000Z,9,Cataluña,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2021-10-01
4.215,2021-10-01T00:00:00.000+02:00,2021-09-30T22:00:00Z,2021-09-30T22:00:00.000Z,10,País Vasco,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2021-10-01
0.77,2021-10-01T00:00:00.000+02:00,2021-09-30T22:00:00Z,2021-09-30T22:00:00.000Z,14,Comunidad Foral de Navarra,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2021-10-01
0.028,2021-10-01T00:00:00.000+02:00,2021-09-30T22:00:00Z,2021-09-30T22:00:00.000Z,15,Comunidad Valenciana,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2021-10-01
4.731,2021-11-01T00:00:00.000+01:00,2021-10-31T23:00:00Z,2021-10-31T23:00:00.000Z,4,Andalucía,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2021-11-01
0.026,2021-11-01T00:00:00.000+01:00,2021-10-31T23:00:00Z,2021-10-31T23:00:00.000Z,5,Aragón,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2021-11-01
4.4,2021-11-01T00:00:00.000+01:00,2021-10-31T23:00:00Z,2021-10-31T23:00:00.000Z,7,Castilla-La Mancha,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2021-11-01
0.203,2021-11-01T00:00:00.000+01:00,2021-10-31T23:00:00Z,2021-10-31T23:00:00.000Z,9,Cataluña,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2021-11-01
4.215,2021-11-01T00:00:00.000+01:00,2021-10-31T23:00:00Z,2021-10-31T23:00:00.000Z,10,País Vasco,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2021-11-01
0.77,2021-11-01T00:00:00.000+01:00,2021-10-31T23:00:00Z,2021-10-31T23:00:00.000Z,14,Comunidad Foral de Navarra,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2021-11-01
0.028,2021-11-01T00:00:00.000+01:00,2021-10-31T23:00:00Z,2021-10-31T23:00:00.000Z,15,Comunidad Valenciana,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2021-11-01
4.731,2021-12-01T00:00:00.000+01:00,2021-11-30T23:00:00Z,2021-11-30T23:00:00.000Z,4,Andalucía,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2021-12-01
0.026,2021-12-01T00:00:00.000+01:00,2021-11-30T23:00:00Z,2021-11-30T23:00:00.000Z,5,Aragón,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2021-12-01
4.4,2021-12-01T00:00:00.000+01:00,2021-11-30T23:00:00Z,2021-11-30T23:00:00.000Z,7,Castilla-La Mancha,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2021-12-01
0.203,2021-12-01T00:00:00.000+01:00,2021-11-30T23:00:00Z,2021-11-30T23:00:00.000Z,9,Cataluña,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2021-12-01
4.215,2021-12-01T00:00:00.000+01:00,2021-11-30T23:00:00Z,2021-11-30T23:00:00.000Z,10,País Vasco,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2021-12-01
0.77,2021-12-01T00:00:00.000+01:00,2021-11-30T23:00:00Z,2021-11-30T23:00:00.000Z,14,Comunidad Foral de Navarra,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2021-12-01
0.028,2021-12-01T00:00:00.000+01:00,2021-11-30T23:00:00Z,2021-11-30T23:00:00.000Z,15,Comunidad Valenciana,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2021-12-01
4.731,2022-01-01T00:00:00.000+01:00,2021-12-31T23:00:00Z,2021-12-31T23:00:00.000Z,4,Andalucía,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2022-01-01
0.026,2022-01-01T00:00:00.000+01:00,2021-12-31T23:00:00Z,2021-12-31T23:00:00.000Z,5,Aragón,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2022-01-01
4.4,2022-01-01T00:00:00.000+01:00,2021-12-31T23:00:00Z,2021-12-31T23:00:00.000Z,7,Castilla-La Mancha,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2022-01-01
0.203,2022-01-01T00:00:00.000+01:00,2021-12-31T23:00:00Z,2021-12-31T23:00:00.000Z,9,Cataluña,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2022-01-01
4.215,2022-01-01T00:00:00.000+01:00,2021-12-31T23:00:00Z,2021-12-31T23:00:00.000Z,10,País Vasco,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2022-01-01
0.77,2022-01-01T00:00:00.000+01:00,2021-12-31T23:00:00Z,2021-12-31T23:00:00.000Z,14,Comunidad Foral de Navarra,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2022-01-01
0.028,2022-01-01T00:00:00.000+01:00,2021-12-31T23:00:00Z,2021-12-31T23:00:00.000Z,15,Comunidad Valenciana,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2022-01-01
4.731,2022-02-01T00:00:00.000+01:00,2022-01-31T23:00:00Z,2022-01-31T23:00:00.000Z,4,Andalucía,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2022-02-01
0.026,2022-02-01T00:00:00.000+01:00,2022-01-31T23:00:00Z,2022-01-31T23:00:00.000Z,5,Aragón,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2022-02-01
4.4,2022-02-01T00:00:00.000+01:00,2022-01-31T23:00:00Z,2022-01-31T23:00:00.000Z,7,Castilla-La Mancha,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2022-02-01
0.203,2022-02-01T00:00:00.000+01:00,2022-01-31T23:00:00Z,2022-01-31T23:00:00.000Z,9,Cataluña,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2022-02-01
4.215,2022-02-01T00:00:00.000+01:00,2022-01-31T23:00:00Z,2022-01-31T23:00:00.000Z,10,País Vasco,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2022-02-01
0.77,2022-02-01T00:00:00.000+01:00,2022-01-31T23:00:00Z,2022-01-31T23:00:00.000Z,14,Comunidad Foral de Navarra,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2022-02-01
0.028,2022-02-01T00:00:00.000+01:00,2022-01-31T23:00:00Z,2022-01-31T23:00:00.000Z,15,Comunidad Valenciana,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2022-02-01
4.731,2022-03-01T00:00:00.000+01:00,2022-02-28T23:00:00Z,2022-02-28T23:00:00.000Z,4,Andalucía,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2022-03-01
0.026,2022-03-01T00:00:00.000+01:00,2022-02-28T23:00:00Z,2022-02-28T23:00:00.000Z,5,Aragón,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2022-03-01
4.4,2022-03-01T00:00:00.000+01:00,2022-02-28T23:00:00Z,2022-02-28T23:00:00.000Z,7,Castilla-La Mancha,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2022-03-01
0.203,2022-03-01T00:00:00.000+01:00,2022-02-28T23:00:00Z,2022-02-28T23:00:00.000Z,9,Cataluña,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2022-03-01
4.215,2022-03-01T00:00:00.000+01:00,2022-02-28T23:00:00Z,2022-02-28T23:00:00.000Z,10,País Vasco,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2022-03-01
0.77,2022-03-01T00:00:00.000+01:00,2022-02-28T23:00:00Z,2022-02-28T23:00:00.000Z,14,Comunidad Foral de Navarra,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2022-03-01
0.028,2022-03-01T00:00:00.000+01:00,2022-02-28T23:00:00Z,2022-02-28T23:00:00.000Z,15,Comunidad Valenciana,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2022-03-01
4.731,2022-04-01T00:00:00.000+02:00,2022-03-31T22:00:00Z,2022-03-31T22:00:00.000Z,4,Andalucía,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2022-04-01
0.026,2022-04-01T00:00:00.000+02:00,2022-03-31T22:00:00Z,2022-03-31T22:00:00.000Z,5,Aragón,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2022-04-01
4.4,2022-04-01T00:00:00.000+02:00,2022-03-31T22:00:00Z,2022-03-31T22:00:00.000Z,7,Castilla-La Mancha,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2022-04-01
0.203,2022-04-01T00:00:00.000+02:00,2022-03-31T22:00:00Z,2022-03-31T22:00:00.000Z,9,Cataluña,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2022-04-01
4.215,2022-04-01T00:00:00.000+02:00,2022-03-31T22:00:00Z,2022-03-31T22:00:00.000Z,10,País Vasco,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2022-04-01
0.77,2022-04-01T00:00:00.000+02:00,2022-03-31T22:00:00Z,2022-03-31T22:00:00.000Z,14,Comunidad Foral de Navarra,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2022-04-01
0.028,2022-04-01T00:00:00.000+02:00,2022-03-31T22:00:00Z,2022-03-31T22:00:00.000Z,15,Comunidad Valenciana,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2022-04-01
4.731,2022-05-01T00:00:00.000+02:00,2022-04-30T22:00:00Z,2022-04-30T22:00:00.000Z,4,Andalucía,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2022-05-01
0.026,2022-05-01T00:00:00.000+02:00,2022-04-30T22:00:00Z,2022-04-30T22:00:00.000Z,5,Aragón,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2022-05-01
4.4,2022-05-01T00:00:00.000+02:00,2022-04-30T22:00:00Z,2022-04-30T22:00:00.000Z,7,Castilla-La Mancha,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2022-05-01
0.203,2022-05-01T00:00:00.000+02:00,2022-04-30T22:00:00Z,2022-04-30T22:00:00.000Z,9,Cataluña,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2022-05-01
4.215,2022-05-01T00:00:00.000+02:00,2022-04-30T22:00:00Z,2022-04-30T22:00:00.000Z,10,País Vasco,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2022-05-01
0.77,2022-05-01T00:00:00.000+02:00,2022-04-30T22:00:00Z,2022-04-30T22:00:00.000Z,14,Comunidad Foral de Navarra,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2022-05-01
0.075,2022-05-01T00:00:00.000+02:00,2022-04-30T22:00:00Z,2022-04-30T22:00:00.000Z,15,Comunidad Valenciana,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2022-05-01
4.731,2022-06-01T00:00:00.000+02:00,2022-05-31T22:00:00Z,2022-05-31T22:00:00.000Z,4,Andalucía,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2022-06-01
0.026,2022-06-01T00:00:00.000+02:00,2022-05-31T22:00:00Z,2022-05-31T22:00:00.000Z,5,Aragón,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2022-06-01
4.4,2022-06-01T00:00:00.000+02:00,2022-05-31T22:00:00Z,2022-05-31T22:00:00.000Z,7,Castilla-La Mancha,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2022-06-01
0.203,2022-06-01T00:00:00.000+02:00,2022-05-31T22:00:00Z,2022-05-31T22:00:00.000Z,9,Cataluña,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2022-06-01
4.215,2022-06-01T00:00:00.000+02:00,2022-05-31T22:00:00Z,2022-05-31T22:00:00.000Z,10,País Vasco,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2022-06-01
0.77,2022-06-01T00:00:00.000+02:00,2022-05-31T22:00:00Z,2022-05-31T22:00:00.000Z,14,Comunidad Foral de Navarra,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2022-06-01
0.075,2022-06-01T00:00:00.000+02:00,2022-05-31T22:00:00Z,2022-05-31T22:00:00.000Z,15,Comunidad Valenciana,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2022-06-01
4.731,2022-07-01T00:00:00.000+02:00,2022-06-30T22:00:00Z,2022-06-30T22:00:00.000Z,4,Andalucía,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2022-07-01
